6.5 The government does not expropriate without lawful process and adequate compensation,0.3511087,0.339598,0.387685,0.36975587,0.38078955,0.37833151,0.35991783,0.35615722,0.344903
Factor 7: Civil Justice,0.5132552,0.52631056,0.54009785,0.52037956,0.53670397,0.53127485,0.50746724,0.50643455,0.50142443
7.1 People can access and afford civil justice,0.58997448,0.59488695,0.58776792,0.58164317,0.59458748,0.62519655,0.61278416,0.623617,0.62534715
7.2 Civil justice is free of discrimination,0.537219,0.562129,0.580627,0.52374243,0.56693707,0.54526509,0.49177573,0.47716944,0.47442609
7.3 Civil justice is free of corruption,0.484179,0.498318,0.510659,0.54342577,0.53565606,0.51313009,0.48281722,0.48230168,0.48131046
7.4 Civil justice is free of improper government influence,0.305671,0.334222,0.344015,0.31943751,0.29889243,0.27393421,0.263803,0.25256274,0.24613965
7.5 Civil justice is not subject to unreasonable delay,0.68372094,0.745936,0.739779,0.70484143,0.73893268,0.73911882,0.72942942,0.73828438,0.74323907
7.6. Civil justice is effectively enforced,0.351618,0.356591,0.451595,0.41933269,0.47084858,0.47129628,0.44990021,0.46847427,0.44946808
"7.7 Alternative dispute resolution mechanisms are accessible, impartial, and effective",0.640404,0.592091,0.566242,0.55023392,0.55107347,0.55098293,0.52176093,0.50263237,0.49004052
Factor 8: Criminal Justice,0.36376834,0.33609324,0.33452771,0.33756916,0.31391736,0.31004942,0.30416823,0.29214031,0.29354058
8.1 Criminal investigation system is effective,0.39552595,0.25217201,0.274549,0.23904424,0.2136189,0.19097554,0.19323552,0.18773644,0.18991438
8.2 Criminal adjudication system is timely and effective,0.47095353,0.435903,0.386209,0.35929473,0.33168354,0.34899745,0.35034921,0.34311702,0.34946938
8.3 Correctional system is effective in reducing criminal behavior,0.366727,0.380456,0.370031,0.38456254,0.36437345,0.35917758,0.33373148,0.31725206,0.33333968
8.4 Criminal system is impartial,0.42518,0.45019,0.351268,0.37654072,0.37895677,0.35401106,0.34547159,0.32689692,0.30841785
8.5 Criminal system is free of corruption,0.42478289,0.42837278,0.464024,0.47643203,0.45188217,0.45986372,0.46206722,0.46285342,0.45572605
8.6 Criminal system is free of improper government influence,0.08061,0.054865,0.124402,0.14586119,0.09190693,0.10598639,0.10598639,0.07184197,0.08708387
8.7. Due process of the law and rights of the accused,0.382599,0.3506939,0.371211,0.38124871,0.36499976,0.35133422,0.33833623,0.33528433,0.33083282
